"","facility_id","common_name","address","zip_code","owned_leased","dept_id_for_jurisdiction","jurisdiction","gross_sq_ft","longitude","latitude","geom"
"1",196,"Bret Harte Elementary","1035 Gilman Ave",94124,"Own",16,"School District (Sfusd)",79000,-122.389803669,37.718196864,"POINT (-122.389803669 37.71819686399999)"
"2",179,"Bernal Heights Branch Library","500 Cortland Ave",94110,"Own",48,"Public Library",8777,-122.416105231,37.738851284,"POINT (-122.41610523100002 37.73885128400002)"
"3",55,"3RD ST/FITZGERALD ST SFMTA Operator Bathroom","3rd St & Fitzgerald Ave",94124,"Own",42,"Municipal Transportation Agency",105,-122.395203578,37.722978663,"POINT (-122.39520357800001 37.72297866299999)"
"4",1348,"Wholesale Produce Market - Public Dock 2 Middle","2002 Jerrold Ave",94124,"Own",63,"Gsa - Real Estate Division",5200,-122.397364703,37.74329527,"POINT (-122.397364703 37.743295269999976)"
"5",1250,"Patricias Green Gardeners Shed","450 Octavia St",94102,"Own",49,"Recreation And Parks",52,-122.424442533,37.775910664,"POINT (-122.42444253299999 37.77591066399998)"
"6",782,"George Moscone Elementary","2576 Harrison St",94110,"Own",16,"School District (Sfusd)",45108,-122.412562229,37.756999357,"POINT (-122.412562229 37.756999356999984)"
"7",1983,"Pier 70 - Pier 68 - Shipwright Building -#108","590 20TH ST",94107,"Own",46,"Port",46638,-122.385952312,37.762030099,"POINT (-122.38595231199997 37.762030099000015)"
"8",858,"Helen Wills Clubhouse","1401 Broadway",94109,"Own",49,"Recreation And Parks",3082,-122.420279933,37.795768539,"POINT (-122.42027993300002 37.795768538999994)"
"9",774,"18th - Geary Parking Lot","421 18th Ave",94121,"Own",42,"Municipal Transportation Agency",10000,-122.477941734,37.779919816,"POINT (-122.47794173400001 37.77991981600002)"
"10",725,"Fire Station #42","2430 San Bruno Ave",94134,"Own",38,"Fire Department",9300,-122.405424996,37.731585212,"POINT (-122.40542499600002 37.73158521200003)"
"11",554,"Crocker Amazon Clubhouse","799 Moscow St",94112,"Own",49,"Recreation And Parks",912,-122.43191402,37.715184063,"POINT (-122.43191402000002 37.71518406299998)"
"12",1298,"Pier 96 - Storage","1000 Amador St",94124,"Own",46,"Port",1922,-122.377797369,37.743831172,"POINT (-122.377797369 37.743831172)"
"13",3293,"Alemany Market Food Stand #1","100 Alemany Blvd",94110,"Own",63,"Gsa - Real Estate Division",4200,-122.410124843,37.736018928,"POINT (-122.410124843 37.73601892800002)"
"14",110,"Alemany Market Admin Building","100 Alemany Blvd",94110,"Own",63,"Gsa - Real Estate Division",720,-122.409889931,37.735746387,"POINT (-122.40988993100001 37.735746387000006)"
"15",3294,"Alemany Market Food Stand #2","100 Alemany Blvd",94110,"Own",63,"Gsa - Real Estate Division",6800,-122.409984011,37.73586139,"POINT (-122.409984011 37.735861390000025)"
